frame_index,balls
0,"649.88,2622.19"
1,"664.61,2646.42"
2,"668.70,2680.21"
3,"663.27,2718.14"
4,
5,
6,
7,
8,
9,"733.75,2901.06"
10,
11,"1049.86,3399.53"
12,"1215.26,3614.32"
13,"1439.74,3849.26"
14,"1580.91,3992.37"
15,"1707.80,4159.20"
16,"1797.02,4273.10"
17,"1856.03,4354.00"
18,"1940.26,4441.65"
19,"2001.54,4517.71"
20,
21,
22,
23,
24,
25,"2348.80,4929.09"
26,
27,
28,
29,
30,"2456.90,5062.32"
31,"2446.52,5050.07"
32,
33,"2576.34,4890.03"
34,"2620.85,4744.03"
35,"2606.10,4607.19"
36,"2634.11,4494.42"
37,"2661.93,4400.23"
38,"2690.57,4323.33"
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,"2633.42,3865.59"
50,"2668.13,3841.70"
51,"2658.02,3761.25"
52,
53,
54,
55,
56,
57,
58,"3017.09,3347.89"
59,"3057.91,3300.99"
60,"3150.20,3215.10"
61,"3233.07,3156.50"
62,
63,"3398.17,2943.39"
64,
65,
66,
67,
68,
69,"3777.58,2526.11"
70,"3841.19,2467.11"
71,"3896.07,2416.58"
72,"3952.39,2344.13"
73,
74,"3872.43,1950.73"
75,"3728.63,1698.57"
76,"3655.08,1531.93"
77,"3580.16,1380.36"
78,"3557.04,1228.03"
79,"3522.71,1110.85"
80,"3479.59,1005.33"
81,
82,"3402.34,820.25"
83,"3429.68,801.29"
84,"3437.98,728.27"
85,"3459.33,729.45"
86,"3422.75,653.44"
87,"3687.23,533.44"
88,
89,"4696.68,1639.01"
90,"4128.67,3877.17"
91,
92,
93,
94,"6479.61,1039.85"
95,"6787.94,1410.92"
96,"7061.46,1782.18"
97,"7284.32,2228.55"
98,"7497.87,2274.17;4250.71,1043.92"
99,"7676.05,2173.04;2730.72,1950.40"
100,"7833.15,2313.54"
101,"8212.72,2646.15"
102,"8386.67,2691.40;6296.66,3195.41"
103,"8556.30,2763.11"
104,"8648.14,2919.48"
105,"8819.57,2945.86"
106,"8961.26,3074.04;9290.05,3264.22"
107,"9039.95,3173.43"
108,"9154.89,3164.93;9365.34,3259.58;7440.86,4986.66"
109,"9213.00,3304.38"
110,"9306.07,3306.22"
111,"9385.01,3407.71"
112,"9474.65,3423.44"
113,"9554.45,3501.87"
114,"9795.57,3603.52;4714.25,934.54"
115,"9792.11,3647.10"
116,"9789.06,3647.18"
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,"10449.29,3403.00"
130,
131,"10600.56,3130.46;5440.80,2280.61"
132,
133,
134,
135,"9509.81,1413.42"
136,"9221.64,1331.83;10026.16,3649.06"
137,"8939.13,1271.23"
138,"8658.38,1258.53;9944.20,3699.75"
139,
140,"8090.78,1429.81"
141,"7802.81,1622.42"
142,"7560.13,1885.49"
143,"7504.12,1575.80"
144,"7412.05,1327.23"
145,"7206.01,1116.50"
146,
147,"7200.24,433.52"
148,
149,
150,"9887.25,3771.64"
151,"9730.12,3647.80"
152,
153,"7213.71,832.73"
154,
155,
156,"8728.53,3910.22"
157,
158,
159,"7407.83,756.33"
160,"7528.37,783.43"
161,
162,"7745.46,801.04"
163,"7855.45,603.40"
164,"7942.51,505.29"
165,"7967.80,685.25"
166,"8049.54,565.05"
167,"8125.51,469.24"
168,"8176.17,519.68"
169,"8231.21,502.05"
170,
171,
172,
173,
174,
175,
176,
177,
178,
179,
180,"9610.22,823.79"
181,"9355.39,1430.07"
182,"9672.52,1055.20"
183,"9938.76,685.33"
184,"10063.80,585.58"
185,"10167.68,548.91"
186,"10203.65,649.71"
187,
188,
189,
190,"9092.55,1629.79"
191,
192,"10350.38,1182.14"
193,"10342.73,1326.15"
194,"10406.15,1375.24"
195,"10553.63,1322.14"
196,"10583.05,1353.97;9789.05,3247.78"
197,"11000.08,911.55;10206.36,1201.70;11388.31,3469.20"
198,"11338.10,552.25"
199,"10359.73,2771.05"
200,"10386.76,2918.64"
201,
202,
203,"11747.37,1706.42"
204,"11538.79,2302.03;11471.00,3716.57"
205,"11450.63,3783.51"
206,
207,
208,
209,"10325.93,3720.95"
210,
211,"11471.81,3790.77"
212,"8937.58,3502.83;9030.92,3569.17"
213,
214,
215,
216,"11814.37,1504.77;11364.84,3857.53"
217,"11407.53,2147.84;11444.19,3805.44"
218,"10972.15,2811.36;11458.06,3803.43"
219,"11478.03,3792.93"
220,"11502.15,3784.27"
221,
222,
223,
224,
225,
226,"9746.06,4636.04"
227,"9804.42,4497.80"
228,"9819.82,4419.10"
229,
230,
231,"9540.36,4769.57"
232,"9449.94,4938.17"
233,
234,
235,"9186.32,5104.31"
236,"9219.75,5203.19"
237,
238,"9112.88,5260.81"
239,
240,
241,
242,
243,"8899.11,5332.42"
244,"8849.71,5362.57"
245,"8838.03,5354.99"
246,"8815.67,5371.65"
247,
248,
249,"8833.38,5168.71"
250,"8708.06,5407.03"
251,"10083.83,5369.15"
252,
253,
254,
255,
256,"6940.28,2011.58"
257,
258,"8706.06,5244.23"
259,
260,
261,
262,"8735.93,5538.78"
263,
264,
265,"8749.97,5614.09"
266,"8760.40,5643.81"
267,"8777.81,5690.57"
268,"8787.89,5734.97"
269,"8799.66,5758.56"
270,
271,
272,
273,
274,"8804.45,5892.62"
275,"8846.53,5980.29"
276,"8943.38,6138.68"
277,"9054.74,6348.67"
278,"9135.50,6545.84"
279,"9273.31,6690.53"
280,"9275.75,6770.64"
281,"9277.61,6757.88"
282,"9259.58,6759.63"
283,"9271.36,6754.95"
284,
285,
286,
287,"9689.84,6200.15"
288,"9788.06,6070.92"
289,"9869.47,5965.75;9997.10,5095.61;11228.41,3734.89"
290,"9930.83,5933.58"
291,"9950.86,5986.97"
292,"10000.16,6005.56"
293,"10057.53,6010.34"
294,"10097.04,6017.37"
295,"10219.86,6030.91"
296,"10218.32,6231.69"
297,"10255.49,6455.05"
298,"10291.31,6586.39"
299,"10334.26,6698.33"
300,
301,
302,
303,
304,
305,"11450.19,3734.50"
306,
307,
308,"10740.94,6220.75"
309,"11504.25,3683.70;10747.96,6189.58"
310,
311,
312,
313,
314,
315,
316,
317,
318,"10934.76,6091.95"
319,"10917.10,6067.83;11345.30,3749.04"
320,"11325.19,3759.87;11413.60,3755.67;10927.38,6057.00;10879.89,6081.75"
321,
322,
323,"11260.53,3708.10;11330.82,3738.64"
324,
325,
326,"11168.46,3694.31"
327,
328,
329,
330,"11143.06,3711.67"
331,
332,
333,
334,
335,
336,"11023.17,3650.77"
337,"10153.84,6852.27;10967.50,3651.19"
338,"10247.99,6663.74;11026.52,3670.05"
339,"10272.23,6546.59"
340,
341,
342,
343,"10961.85,3666.52"
344,"10136.17,6648.86"
345,"11017.86,3689.56"
346,
347,"10444.57,5134.73"
348,
349,
350,
351,
352,
353,
354,
355,
356,
357,
358,
359,
360,
361,
362,
363,
364,"10927.96,6082.27"
365,
366,"10946.58,6108.65"
367,
368,
369,
370,
371,
372,"10233.08,6573.98"
373,"10425.42,6518.06"
374,"10516.90,6557.81;10450.52,3602.10;10605.78,5801.42"
375,"10622.34,6639.35"
376,"10750.17,6621.88"
377,"11008.98,6472.01"
378,"11185.20,6368.24"
379,"11282.09,6350.84"
380,"11249.71,6431.60"
381,"11169.13,6519.76;10483.94,3633.94"
382,"11233.25,6460.85;9215.62,5000.44"
383,"11243.98,6459.46"
384,"11198.38,6540.49"
385,
386,
387,
388,"11205.45,6621.12"
389,"11185.73,6620.90"
390,"11162.55,6642.55;11163.02,6669.67"
391,
392,"10750.50,6706.11"
393,"10400.97,6752.23"
394,"10150.93,6776.70"
395,"9932.19,6807.49"
396,
397,"9658.55,6841.99"
398,"9580.44,6856.27;10902.47,6614.59"
399,"9477.62,6859.82"
400,"9416.46,6870.16;10743.70,6567.50"
401,"9374.10,6850.56"
402,"9320.83,6871.43;10652.39,6539.74"
403,"9287.31,6848.80;11354.89,3704.62;11305.38,3703.97"
404,"9256.63,6832.53"
405,
406,"8883.70,6792.27;11288.90,3675.02"
407,"8574.12,6782.67;8447.19,6322.09;11238.62,3676.40"
408,"8282.07,6777.85;11220.79,3669.36"
409,"8033.25,6745.44;11314.01,3630.45;11223.13,3676.14"
410,"7807.79,6747.39;8998.62,5070.29"
411,"7564.24,6734.25;11235.17,3697.30"
412,"7356.66,6663.11;11229.22,3745.68"
413,"7323.54,6640.33"
414,"7222.66,6662.95"
415,"7152.41,6644.33;9769.79,6321.28;8566.30,5085.18;9825.26,4636.80"
416,"7045.96,6641.03"
417,"6917.41,6647.42;8336.78,5105.04"
418,"6780.83,6627.16;7577.52,4460.90;8243.93,5128.60"
419,"10869.85,3903.40;10927.28,3915.47"
420,"6416.02,6472.81"
421,"6022.02,6325.44;6726.19,6449.64"
422,"5721.92,6185.06;7127.63,4568.75;10777.45,3932.83"
423,"5346.40,6095.20;10707.15,4001.33"
424,"5100.65,5968.82;6820.61,4575.33"
425,"4898.30,5852.29;6220.23,6379.02;7491.94,5109.95"
426,"4716.65,5800.94;7810.09,5854.40"
427,"4594.51,5640.65;5977.19,6260.63"
428,"4515.29,5639.90"
429,"4209.39,5645.65"
430,"4088.47,5577.60;7609.18,6794.17"
431,"3975.58,5508.71"
432,"3867.84,5446.20"
433,"3734.23,5346.13"
434,"3574.39,5266.29;7859.04,2725.70"
435,"3446.77,5201.45"
436,"3353.33,5134.87;10017.03,4193.78"
437,"3391.25,5196.93"
438,"3288.74,5138.85"
439,"3248.94,5113.96"
440,"3193.98,5099.41"
441,
442,
443,
444,"3152.72,5234.67"
445,"3138.35,5241.62"
446,"3193.56,5301.38"
447,
448,"3204.25,5169.01"
449,"3207.22,5156.40"
450,"3237.47,5137.28"
451,"3260.86,5112.97"
452,"3274.86,5071.64"
453,"3465.62,5037.14"
454,"3716.14,5060.49"
455,"3895.87,5058.97;6974.49,5667.43"
456,"4078.00,5092.11"
457,"4206.77,5105.75"
458,"4348.27,5136.31"
459,
460,
461,"4577.09,5217.19"
462,"4596.33,5251.08"
463,"4642.20,5277.81"
464,
465,"4720.30,5372.78"
466,"4826.89,5440.57"
467,"4925.05,5528.63"
468,"4959.07,5533.60"
469,"5036.54,5609.67"
470,"6906.60,5555.04"
471,
472,
473,"5696.30,5794.12"
474,"6056.73,5875.88;5278.64,5619.54"
475,"6339.45,6009.94"
476,"6595.65,6178.49"
477,
478,
479,"6363.80,5230.55"
480,
481,
482,
483,
484,
485,
486,
487,"6756.02,6143.40"
488,
489,"6942.36,5936.90"
490,"7092.70,5734.50"
491,"7163.06,5653.43"
492,"7282.40,5534.03"
493,"7393.83,5383.34"
494,"7479.69,5256.64"
495,
496,"7262.62,4869.21"
497,"6971.07,4644.97"
498,"6664.85,4480.59"
499,"6367.88,4414.21"
500,
501,"5773.17,4535.14"
502,"5529.04,4645.53"
503,"5332.95,4868.41"
504,"5339.64,4958.44"
505,"5391.98,4907.55;7567.87,4859.27"
506,"5445.66,4936.29"
507,"5506.56,5028.41"
508,"5537.62,5001.93"
509,"5591.67,5026.91"
510,"5637.88,5055.54"
511,"5671.00,5073.65"
512,
513,"5760.70,4716.40"
514,"5750.67,4670.63"
515,"5789.09,4578.99"
516,"5741.69,4514.17"
517,"5711.06,4501.57"
518,"5679.37,4473.16"
519,"5674.72,4416.99"
520,"5611.31,4407.57"
521,
522,"5560.12,4391.94"
523,
524,"5497.37,4409.25"
525,
526,
527,
528,
529,
530,
531,
532,
533,"5495.39,4835.39"
534,
535,
536,
537,"5484.08,5042.17"
538,"5491.56,5128.63;5741.02,5220.78"
539,"5500.00,5179.24"
540,"5510.92,5212.01"
541,"5521.53,5281.48;5446.70,5163.68"
542,
543,"5439.83,5429.75"
544,"5368.06,5604.65"
